x,y,concentration
0.0,0.0,1.153615992001337e-55
0.0,2.5,1.153615992001337e-55
0.0,5.0,1.450618487097619e-52
0.0,7.5,1.759082070050206e-49
0.0,10.0,1.3103971941838472e-46
0.0,12.5,6.05490026284808e-44
0.0,15.0,5.423046905324736e-41
0.0,17.5,4.5543745239602617e-38
0.0,20.0,2.2376712813514938e-35
0.0,22.5,1.4890308807673403e-32
0.0,25.0,9.281204483657854e-30
0.0,27.5,5.304575814266536e-27
0.0,30.0,2.7075211810381804e-24
0.0,32.5,1.2062573241231067e-21
0.0,35.0,4.50357235777364e-19
0.0,37.5,1.449484286909756e-16
0.0,40.0,3.6985913151461956e-14
0.0,42.5,8.037605662247615e-12
0.0,45.0,1.306962040648083e-09
0.0,47.5,1.4204985020869634e-07
0.0,50.0,7.753787058521604e-06
0.0,52.5,1.452117006270901e-07
0.0,55.0,1.3486067523849767e-09
0.0,57.5,8.465690914198817e-12
0.0,60.0,3.93279665857248e-14
0.0,62.5,1.4565742008148554e-16
0.0,65.0,4.569528603239011e-19
0.0,67.5,1.1732352850020895e-21
0.0,70.0,2.59225086774617e-24
0.0,72.5,8.03333738275643e-27
0.0,75.0,1.491761621931995e-29
0.0,77.5,2.3622954954934518e-32
0.0,80.0,3.340239235723265e-35
0.0,82.5,4.300689455335848e-38
0.0,85.0,6.838454287838437e-41
0.0,87.5,9.966527963806343e-44
0.0,90.0,1.2852403737941889e-46
0.0,92.5,1.5400264686940492e-49
0.0,95.0,1.3890624911041938e-52
0.0,97.5,1.3890624911041938e-52
2.5,0.0,1.153615992001337e-55
2.5,2.5,1.153615992001337e-55
2.5,5.0,1.450618487097619e-52
2.5,7.5,1.759082070050206e-49
2.5,10.0,1.3103971941838472e-46
2.5,12.5,6.05490026284808e-44
2.5,15.0,5.423046905324736e-41
2.5,17.5,4.5543745239602617e-38
2.5,20.0,2.2376712813514938e-35
2.5,22.5,1.4890308807673403e-32
2.5,25.0,9.281204483657854e-30
2.5,27.5,5.304575814266536e-27
2.5,30.0,2.7075211810381804e-24
2.5,32.5,1.2062573241231067e-21
2.5,35.0,4.50357235777364e-19
2.5,37.5,1.449484286909756e-16
2.5,40.0,3.6985913151461956e-14
2.5,42.5,8.037605662247615e-12
2.5,45.0,1.306962040648083e-09
2.5,47.5,1.4204985020869634e-07
2.5,50.0,7.753787058521604e-06
2.5,52.5,1.452117006270901e-07
2.5,55.0,1.3486067523849767e-09
2.5,57.5,8.465690914198817e-12
2.5,60.0,3.93279665857248e-14
2.5,62.5,1.4565742008148554e-16
2.5,65.0,4.569528603239011e-19
2.5,67.5,1.1732352850020895e-21
2.5,70.0,2.59225086774617e-24
2.5,72.5,8.03333738275643e-27
2.5,75.0,1.491761621931995e-29
2.5,77.5,2.3622954954934518e-32
2.5,80.0,3.340239235723265e-35
2.5,82.5,4.300689455335848e-38
2.5,85.0,6.838454287838437e-41
2.5,87.5,9.966527963806343e-44
2.5,90.0,1.2852403737941889e-46
2.5,92.5,1.5400264686940492e-49
2.5,95.0,1.3890624911041938e-52
2.5,97.5,1.3890624911041938e-52
5.0,0.0,3.544505560439849e-53
5.0,2.5,3.544505560439849e-53
5.0,5.0,4.1536681435823803e-50
5.0,7.5,4.609884903306207e-47
5.0,10.0,4.822306709842552e-44
5.0,12.5,2.448686474236418e-41
5.0,15.0,2.1371206074036798e-38
5.0,17.5,1.695397527369052e-35
5.0,20.0,9.124273041241665e-33
5.0,22.5,6.1491457196080874e-30
5.0,25.0,3.703655695016795e-27
5.0,27.5,2.0932505751178656e-24
5.0,30.0,1.0066744199729445e-21
5.0,32.5,4.3081568834005073e-19
5.0,35.0,1.55348365073201e-16
5.0,37.5,5.020586968320107e-14
5.0,40.0,1.3377263386649614e-11
5.0,42.5,2.825548974495057e-09
5.0,45.0,4.453109542078432e-07
5.0,47.5,4.6905076766802515e-05
5.0,50.0,0.0024832486805516415
5.0,52.5,4.812164096214785e-05
5.0,55.0,4.608637677206451e-07
5.0,57.5,3.0039930695377974e-09
5.0,60.0,1.4305196415271621e-11
5.0,62.5,5.447110912551563e-14
5.0,65.0,1.6776019666505249e-16
5.0,67.5,4.2463972160458554e-19
