x,y,concentration
0.0,0.0,0.0
0.0,2.5,0.0
0.0,5.0,0.0
0.0,7.5,0.0
0.0,10.0,0.0
0.0,12.5,0.0
0.0,15.0,0.0
0.0,17.5,0.0
0.0,20.0,0.0
0.0,22.5,0.0
0.0,25.0,0.0
0.0,27.5,0.0
0.0,30.0,0.0
0.0,32.5,0.0
0.0,35.0,5.164520323746819e-45
0.0,37.5,1.8628718065737585e-39
0.0,40.0,2.665444320066873e-34
0.0,42.5,2.1677635754995552e-29
0.0,45.0,9.90246552171399e-25
0.0,47.5,2.420995273645956e-20
0.0,50.0,2.4793179797886903e-16
0.0,52.5,2.4748972864714347e-20
0.0,55.0,1.0218074212142995e-24
0.0,57.5,2.283257898065375e-29
0.0,60.0,2.8342708877791563e-34
0.0,62.5,1.8715820761678973e-39
0.0,65.0,5.2393397762202504e-45
0.0,67.5,0.0
0.0,70.0,0.0
0.0,72.5,0.0
0.0,75.0,0.0
0.0,77.5,0.0
0.0,80.0,0.0
0.0,82.5,0.0
0.0,85.0,0.0
0.0,87.5,0.0
0.0,90.0,0.0
0.0,92.5,0.0
0.0,95.0,0.0
0.0,97.5,0.0
2.5,0.0,0.0
2.5,2.5,0.0
2.5,5.0,0.0
2.5,7.5,0.0
2.5,10.0,0.0
2.5,12.5,0.0
2.5,15.0,0.0
2.5,17.5,0.0
2.5,20.0,0.0
2.5,22.5,0.0
2.5,25.0,0.0
2.5,27.5,0.0
2.5,30.0,0.0
2.5,32.5,0.0
2.5,35.0,5.164520323746819e-45
2.5,37.5,1.8628718065737585e-39
2.5,40.0,2.665444320066873e-34
2.5,42.5,2.1677635754995552e-29
2.5,45.0,9.90246552171399e-25
2.5,47.5,2.420995273645956e-20
2.5,50.0,2.4793179797886903e-16
2.5,52.5,2.4748972864714347e-20
2.5,55.0,1.0218074212142995e-24
2.5,57.5,2.283257898065375e-29
2.5,60.0,2.8342708877791563e-34
2.5,62.5,1.8715820761678973e-39
2.5,65.0,5.2393397762202504e-45
2.5,67.5,0.0
2.5,70.0,0.0
2.5,72.5,0.0
2.5,75.0,0.0
2.5,77.5,0.0
2.5,80.0,0.0
2.5,82.5,0.0
2.5,85.0,0.0
2.5,87.5,0.0
2.5,90.0,0.0
2.5,92.5,0.0
2.5,95.0,0.0
2.5,97.5,0.0
5.0,0.0,0.0
5.0,2.5,0.0
5.0,5.0,0.0
5.0,7.5,0.0
5.0,10.0,0.0
5.0,12.5,0.0
5.0,15.0,0.0
5.0,17.5,0.0
5.0,20.0,0.0
5.0,22.5,0.0
5.0,25.0,0.0
5.0,27.5,0.0
5.0,30.0,0.0
5.0,32.5,4.9503304891732836e-45
5.0,35.0,2.0006709915488356e-39
5.0,37.5,3.6265662092184886e-34
5.0,40.0,3.6162900260345736e-29
5.0,42.5,2.1458011806038038e-24
5.0,45.0,7.60693370549932e-20
5.0,47.5,1.5032555822982335e-15
5.0,50.0,1.2809763541353293e-11
5.0,52.5,1.5422446845588157e-15
5.0,55.0,7.872638900660424e-20
5.0,57.5,2.2813228115362186e-24
5.0,60.0,3.8671516549698294e-29
5.0,62.5,3.9346721928549886e-34
5.0,65.0,2.1605225763055755e-39
5.0,67.5,4.879360981108554e-45
5.0,70.0,0.0
5.0,72.5,0.0
5.0,75.0,0.0
5.0,77.5,0.0
5.0,80.0,0.0
5.0,82.5,0.0
5.0,85.0,0.0
5.0,87.5,0.0
5.0,90.0,0.0
5.0,92.5,0.0
5.0,95.0,0.0
5.0,97.5,0.0
7.5,0.0,0.0
7.5,2.5,0.0
7.5,5.0,0.0
7.5,7.5,0.0
7.5,10.0,0.0
7.5,12.5,0.0
7.5,15.0,0.0
7.5,17.5,0.0
7.5,20.0,0.0
7.5,22.5,0.0
7.5,25.0,0.0
7.5,27.5,0.0
7.5,30.0,3.576523934309846e-45
7.5,32.5,1.7261606292883167e-39
7.5,35.0,3.6092569677624736e-34
7.5,37.5,4.2534296045601737e-29
7.5,40.0,3.0858144126876305e-24
7.5,42.5,1.4123097267783823e-19
7.5,45.0,3.999152654915252e-15
7.5,47.5,6.485936270589487e-11
7.5,50.0,4.632925071953802e-07
7.5,52.5,6.687382237681521e-11
7.5,55.0,4.1523589641325035e-15
7.5,57.5,1.522978723025524e-19
7.5,60.0,3.31320928497414e-24
7.5,62.5,4.393196228558483e-29
7.5,65.0,3.6484408504389715e-34
7.5,67.5,1.721855657888569e-39
7.5,70.0,3.5252164248245605e-45
7.5,72.5,0.0
7.5,75.0,0.0
7.5,77.5,0.0
7.5,80.0,0.0
7.5,82.5,0.0
7.5,85.0,0.0
7.5,87.5,0.0
7.5,90.0,0.0
7.5,92.5,0.0
7.5,95.0,0.0
7.5,97.5,0.0
10.0,0.0,0.0
10.0,2.5,0.0
10.0,5.0,0.0
10.0,7.5,0.0
10.0,10.0,0.0
10.0,12.5,0.0
10.0,15.0,0.0
10.0,17.5,0.0
10.0,20.0,0.0
10.0,22.5,0.0
10.0,25.0,0.0
10.0,27.5,2.1316731997029556e-45
10.0,30.0,1.1195851800316782e-39
10.0,32.5,2.6337468914535865e-34
10.0,35.0,3.578731273464473e-29
10.0,37.5,3.06754101088364e-24
10.0,40.0,1.7126247071549652e-19
10.0,42.5,6.216673378941752e-15
10.0,45.0,1.4176626353436342e-10
10.0,47.5,1.8824910204125735e-06
10.0,50.0,0.011170706802747184
10.0,52.5,1.9553483791822006e-06
10.0,55.0,1.4766756279635572e-10
10.0,57.5,6.455525609325919e-15
10.0,60.0,1.7232024274510483e-19
10.0,62.5,3.0423443498891203e-24
10.0,65.0,3.5239948535837494e-29
10.0,67.5,2.578993427041057e-34
10.0,70.0,1.083066209842163e-39
10.0,72.5,1.99163514871941e-45
10.0,75.0,0.0
10.0,77.5,0.0
10.0,80.0,0.0
10.0,82.5,0.0
10.0,85.0,0.0
10.0,87.5,0.0
10.0,90.0,0.0
10.0,92.5,0.0
10.0,95.0,0.0
10.0,97.5,0.0
12.5,0.0,0.0
12.5,2.5,0.0
12.5,5.0,0.0
12.5,7.5,0.0
12.5,10.0,0.0
12.5,12.5,0.0
12.5,15.0,0.0
12.5,17.5,0.0
12.5,20.0,0.0
12.5,22.5,0.0
12.5,25.0,9.002766406378947e-46
12.5,27.5,5.383313279345096e-40
12.5,30.0,1.4154569249352526e-34
12.5,32.5,2.1365545008246447e-29
12.5,35.0,2.1097428502681503e-24
12.5,37.5,1.393805883038683e-19
12.5,40.0,6.1714632628517784e-15
12.5,42.5,1.7943309490505097e-10
12.5,45.0,3.244812359221735e-06
12.5,47.5,0.034219301387375306
12.5,50.0,161.60822504490378
12.5,52.5,0.03383518203647497
12.5,55.0,3.1839341179116778e-06
12.5,57.5,1.748119180303714e-10
12.5,60.0,6.0091248710748285e-15
12.5,62.5,1.357712158881872e-19
12.5,65.0,2.0557534433083827e-24
12.5,67.5,2.0724748514998294e-29
12.5,70.0,1.3381323724966137e-34
12.5,72.5,5.0162578826176425e-40
12.5,75.0,1.1039209535758044e-45
12.5,77.5,0.0
12.5,80.0,0.0
12.5,82.5,0.0
12.5,85.0,0.0
12.5,87.5,0.0
12.5,90.0,0.0
12.5,92.5,0.0
12.5,95.0,0.0
12.5,97.5,0.0
15.0,0.0,0.0
15.0,2.5,0.0
15.0,5.0,0.0
15.0,7.5,0.0
15.0,10.0,0.0
15.0,12.5,0.0
15.0,15.0,0.0
15.0,17.5,0.0
15.0,20.0,0.0
15.0,22.5,2.509574882987469e-46
15.0,25.0,1.6792050513725296e-40
15.0,27.5,4.963084640487943e-35
15.0,30.0,8.730645315062349e-30
15.0,32.5,9.811714327125055e-25
15.0,35.0,7.426843328878008e-20
15.0,37.5,3.9105253353149765e-15
15.0,40.0,1.3943051753979549e-10
15.0,42.5,3.2448051319215514e-06
15.0,45.0,0.04401879597893889
15.0,47.5,313.6098223464109
15.0,50.0,999548.3801077637
15.0,52.5,308.38325960913943
15.0,55.0,0.04293502942351827
15.0,57.5,3.1385476568858687e-06
15.0,60.0,1.3566408636034693e-10
15.0,62.5,3.811782514247717e-15
15.0,65.0,7.241041742958306e-20
15.0,67.5,9.424580369483707e-25
15.0,70.0,8.313010606801357e-30
15.0,72.5,4.7609814392620913e-35
15.0,75.0,1.9184830591215293e-40
15.0,77.5,3.3786664004448307e-46
15.0,80.0,0.0
15.0,82.5,0.0
15.0,85.0,0.0
15.0,87.5,0.0
15.0,90.0,0.0
15.0,92.5,0.0
15.0,95.0,0.0
15.0,97.5,0.0
17.5,0.0,0.0
17.5,2.5,0.0
17.5,5.0,0.0
17.5,7.5,0.0
17.5,10.0,0.0
17.5,12.5,0.0
17.5,15.0,0.0
17.5,17.5,0.0
17.5,20.0,4.3439173047167793e-47
17.5,22.5,3.175990003060102e-41
17.5,25.0,1.0472655148572648e-35
17.5,27.5,2.0393572587115717e-30
17.5,30.0,2.631987164238546e-25
17.5,32.5,2.3430057384194518e-20
17.5,35.0,1.4616256348019928e-15
17.5,37.5,6.261625481212335e-11
17.5,40.0,1.7980254222756043e-06
17.5,42.5,0.03218286623437522
17.5,45.0,303.9920331988624
17.5,47.5,999695.9993878208
17.5,50.0,999999.9267593056
17.5,52.5,999695.9990265624
17.5,55.0,303.9920331239504
17.5,57.5,0.03182162120370478
17.5,60.0,1.7680610721477457e-06
17.5,62.5,6.128089962891649e-11
17.5,65.0,1.4259703280225664e-15
17.5,67.5,2.3030252055610103e-20
17.5,70.0,2.6017024892427874e-25
17.5,72.5,2.0184233820412705e-30
17.5,75.0,1.042878714236122e-35
17.5,77.5,3.6032701606837587e-41
17.5,80.0,4.903395930466304e-47
17.5,82.5,0.0
17.5,85.0,0.0
17.5,87.5,0.0
17.5,90.0,0.0
17.5,92.5,0.0
17.5,95.0,0.0
17.5,97.5,0.0
20.0,0.0,0.0
20.0,2.5,0.0
20.0,5.0,0.0
20.0,7.5,0.0
20.0,10.0,0.0
20.0,12.5,0.0
20.0,15.0,0.0
20.0,17.5,3.5234732319495984e-48
20.0,20.0,2.803538128342402e-42
20.0,22.5,1.0139566454145804e-36
20.0,25.0,2.2003091311832833e-31
20.0,27.5,3.183148923627332e-26
20.0,30.0,3.223506425827035e-21
20.0,32.5,2.331699161592724e-16
20.0,35.0,1.204728387139728e-11
20.0,37.5,4.3571750945964984e-07
20.0,40.0,0.010505870064016987
20.0,42.5,151.99044801288733
20.0,45.0,999543.9866342145
20.0,47.5,999999.9264554516
20.0,50.0,999999.9999878121
20.0,52.5,999999.9264554367
20.0,55.0,999543.9866342145
20.0,57.5,151.99044802882392
20.0,60.0,0.010505870065568421
20.0,62.5,4.3571750950254047e-07
20.0,65.0,1.2047283871954792e-11
20.0,67.5,2.331699161653473e-16
20.0,70.0,3.223506425852892e-21
20.0,72.5,3.183148923616798e-26
20.0,75.0,2.2003091311778454e-31
20.0,77.5,1.0786025610714588e-36
20.0,80.0,2.9822870789847205e-42
20.0,82.5,3.748130660881527e-48
20.0,85.0,0.0
20.0,87.5,0.0
20.0,90.0,0.0
20.0,92.5,0.0
20.0,95.0,0.0
20.0,97.5,0.0
22.5,0.0,0.0
22.5,2.5,0.0
22.5,5.0,0.0
22.5,7.5,0.0
22.5,10.0,0.0
22.5,12.5,0.0
22.5,15.0,0.0
22.5,17.5,0.0
22.5,20.0,4.1528953073754154e-47
22.5,22.5,3.027271976650289e-41
22.5,25.0,9.995630139156187e-36
22.5,27.5,1.949045029766867e-30
22.5,30.0,2.5013366872362266e-25
22.5,32.5,2.210701497859631e-20
22.5,35.0,1.3659262993380352e-15
22.5,37.5,5.852669657551883e-11
22.5,40.0,1.681039441493788e-06
22.5,42.5,0.0307724596764078
22.5,45.0,303.9907662936494
22.5,47.5,999695.9974561882
22.5,50.0,999999.9264551617
22.5,52.5,999695.9974561882
22.5,55.0,303.9907663188424
22.5,57.5,0.03151795810115973
22.5,60.0,1.7428766269978734e-06
22.5,62.5,6.023645143611693e-11
22.5,65.0,1.3990178577896102e-15
22.5,67.5,2.2564496171774607e-20
22.5,70.0,2.5109006931259047e-25
22.5,72.5,1.9310401456532106e-30
22.5,75.0,9.912659198224148e-36
22.5,77.5,3.3563892132277425e-41
22.5,80.0,4.593113262344861e-47
22.5,82.5,0.0
22.5,85.0,0.0
22.5,87.5,0.0
22.5,90.0,0.0
22.5,92.5,0.0
22.5,95.0,0.0
22.5,97.5,0.0
25.0,0.0,0.0
25.0,2.5,0.0
25.0,5.0,0.0
25.0,7.5,0.0
25.0,10.0,0.0
25.0,12.5,0.0
25.0,15.0,0.0
25.0,17.5,0.0
25.0,20.0,0.0
25.0,22.5,2.3037671322450285e-46
25.0,25.0,1.5303234206537367e-40
25.0,27.5,4.5351688883997254e-35
25.0,30.0,7.892386981522744e-30
25.0,32.5,8.916458368017744e-25
25.0,35.0,6.818819794391833e-20
25.0,37.5,3.566426863797587e-15
25.0,40.0,1.2574188236405352e-10
25.0,42.5,2.866723581472716e-06
25.0,45.0,0.04053315152655784
25.0,47.5,303.9907661751632
25.0,50.0,999543.9860007018
25.0,52.5,303.99076623127587
25.0,55.0,0.04039509847907701
25.0,57.5,2.881134266739179e-06
25.0,60.0,1.278500767603528e-10
25.0,62.5,3.6403214828881275e-15
25.0,65.0,6.966724906453125e-20
25.0,67.5,8.858408069039236e-25
25.0,70.0,7.664699009361987e-30
25.0,72.5,4.4219476471498956e-35
25.0,75.0,1.4967242436513985e-40
25.0,77.5,2.6245632467775617e-46
25.0,80.0,0.0
25.0,82.5,0.0
25.0,85.0,0.0
25.0,87.5,0.0
25.0,90.0,0.0
25.0,92.5,0.0
25.0,95.0,0.0
25.0,97.5,0.0
27.5,0.0,0.0
27.5,2.5,0.0
27.5,5.0,0.0
27.5,7.5,0.0
27.5,10.0,0.0
27.5,12.5,0.0
27.5,15.0,0.0
27.5,17.5,0.0
27.5,20.0,0.0
27.5,22.5,0.0
27.5,25.0,7.8608795466924e-46
27.5,27.5,4.724386974484802e-40
27.5,30.0,1.2551564089181254e-34
27.5,32.5,1.9344841421884687e-29
27.5,35.0,1.906944395632025e-24
27.5,37.5,1.249244343264724e-19
27.5,40.0,5.469916276313903e-15
27.5,42.5,1.5687563482392158e-10
27.5,45.0,2.807073795096092e-06
27.5,47.5,0.030026845874986493
27.5,50.0,151.9898145861603
27.5,52.5,0.03151787054419731
27.5,55.0,2.982473732579538e-06
27.5,57.5,1.5594759608286587e-10
27.5,60.0,5.300910486552555e-15
27.5,62.5,1.2360955027557145e-19
27.5,65.0,1.8316013659022382e-24
27.5,67.5,1.809888047265093e-29
27.5,70.0,1.187247120401479e-34
27.5,72.5,4.5053164123886736e-40
27.5,75.0,7.543325725829292e-46
27.5,77.5,0.0
27.5,80.0,0.0
27.5,82.5,0.0
27.5,85.0,0.0
27.5,87.5,0.0
27.5,90.0,0.0
27.5,92.5,0.0
27.5,95.0,0.0
27.5,97.5,0.0
30.0,0.0,0.0
30.0,2.5,0.0
30.0,5.0,0.0
30.0,7.5,0.0
30.0,10.0,0.0
30.0,12.5,0.0
30.0,15.0,0.0
30.0,17.5,0.0
30.0,20.0,0.0
30.0,22.5,0.0
30.0,25.0,0.0
30.0,27.5,1.8511898932509064e-45
30.0,30.0,1.0005085941902296e-39
30.0,32.5,2.36339361613514e-34
30.0,35.0,3.1941454096756755e-29
30.0,37.5,2.713982006237695e-24
30.0,40.0,1.4991551830547853e-19
30.0,42.5,5.37415004540352e-15
30.0,45.0,1.207940014433586e-10
30.0,47.5,1.5617415270956626e-06
30.0,50.0,0.00976028718405165
30.0,52.5,1.7119472696081115e-06
30.0,55.0,1.2979671639030964e-10
30.0,57.5,5.530431556078196e-15
30.0,60.0,1.4405792954917763e-19
30.0,62.5,2.5065991688784427e-24
30.0,65.0,2.8570743482422476e-29
30.0,67.5,2.150646402248018e-34
30.0,70.0,9.229086304163594e-40
30.0,72.5,1.7261301181833415e-45
30.0,75.0,0.0
30.0,77.5,0.0
30.0,80.0,0.0
30.0,82.5,0.0
30.0,85.0,0.0
30.0,87.5,0.0
30.0,90.0,0.0
30.0,92.5,0.0
30.0,95.0,0.0
30.0,97.5,0.0
32.5,0.0,0.0
32.5,2.5,0.0
32.5,5.0,0.0
32.5,7.5,0.0
32.5,10.0,0.0
32.5,12.5,0.0
32.5,15.0,0.0
32.5,17.5,0.0
32.5,20.0,0.0
32.5,22.5,0.0
32.5,25.0,0.0
32.5,27.5,0.0
32.5,30.0,3.3614775834894173e-45
32.5,32.5,1.6741378047765074e-39
32.5,35.0,3.691474372473654e-34
32.5,37.5,4.8164429947045484e-29
32.5,40.0,4.253873760229795e-24
32.5,42.5,1.7177663464014134e-19
32.5,45.0,3.3748948432364236e-15
32.5,47.5,5.3578847580711794e-11
32.5,50.0,3.760693720130897e-07
32.5,52.5,5.4373067934834526e-11
32.5,55.0,3.5645089984405066e-15
32.5,57.5,1.2573441313070632e-19
32.5,60.0,2.5049907954309712e-24
32.5,62.5,3.270344526518978e-29
32.5,65.0,2.7215809442513386e-34
32.5,67.5,1.3471426678682051e-39
32.5,70.0,2.852983486528513e-45
32.5,72.5,0.0
32.5,75.0,0.0
32.5,77.5,0.0
32.5,80.0,0.0
32.5,82.5,0.0
32.5,85.0,0.0
32.5,87.5,0.0
32.5,90.0,0.0
32.5,92.5,0.0
32.5,95.0,0.0
32.5,97.5,0.0
35.0,0.0,0.0
35.0,2.5,0.0
35.0,5.0,0.0
35.0,7.5,0.0
35.0,10.0,0.0
35.0,12.5,0.0
35.0,15.0,0.0
35.0,17.5,0.0
35.0,20.0,0.0
35.0,22.5,0.0
35.0,25.0,0.0
35.0,27.5,0.0
35.0,30.0,0.0
35.0,32.5,4.882773223858963e-45
35.0,35.0,2.298260734134658e-39
35.0,37.5,4.813141839549647e-34
35.0,40.0,5.628164444217237e-29
35.0,42.5,3.888257879512141e-24
35.0,45.0,1.0473153231811138e-19
35.0,47.5,1.9097439751411176e-15
35.0,50.0,1.0398011345610615e-11
35.0,52.5,1.1789342952042915e-15
35.0,55.0,6.207965615264872e-20
35.0,57.5,2.758976034091939e-24
35.0,60.0,3.444929865519559e-29
35.0,62.5,3.0945586928983792e-34
35.0,65.0,1.5497876835847748e-39
35.0,67.5,3.5095749666186285e-45
35.0,70.0,0.0
35.0,72.5,0.0
35.0,75.0,0.0
35.0,77.5,0.0
35.0,80.0,0.0
35.0,82.5,0.0
35.0,85.0,0.0
35.0,87.5,0.0
35.0,90.0,0.0
35.0,92.5,0.0
35.0,95.0,0.0
35.0,97.5,0.0
37.5,0.0,0.0
37.5,2.5,0.0
37.5,5.0,0.0
37.5,7.5,0.0
37.5,10.0,0.0
37.5,12.5,0.0
37.5,15.0,0.0
37.5,17.5,0.0
37.5,20.0,0.0
37.5,22.5,0.0
37.5,25.0,0.0
37.5,27.5,0.0
37.5,30.0,0.0
