x,y,concentration
0.0,0.0,1.9321380133690783e-43
0.0,2.5,1.9321380133690783e-43
0.0,5.0,7.400161152803815e-41
0.0,7.5,2.738825857221045e-38
0.0,10.0,6.253518643765676e-36
0.0,12.5,8.921822440080375e-34
0.0,15.0,2.4469960367952667e-31
0.0,17.5,6.295722681600305e-29
0.0,20.0,9.527493330645235e-27
0.0,22.5,1.9460965861165314e-24
0.0,25.0,3.7250318621231216e-22
0.0,27.5,6.541559364305175e-20
0.0,30.0,1.026457445941078e-17
0.0,32.5,1.4068998922986514e-15
0.0,35.0,1.6175007801654335e-13
0.0,37.5,1.6042658429398448e-11
0.0,40.0,1.2628633213170372e-09
0.0,42.5,8.467976627338753e-08
0.0,45.0,4.251704211285554e-06
0.0,47.5,0.00014280358935875052
0.0,50.0,0.002412443237275973
0.0,52.5,0.00014597953722614076
0.0,55.0,4.387103661746893e-06
0.0,57.5,8.918626297325809e-08
0.0,60.0,1.3427797833527339e-09
0.0,62.5,1.6128877521698587e-11
0.0,65.0,1.6417598295559981e-13
0.0,67.5,1.368944222992524e-15
0.0,70.0,9.830004130114983e-18
0.0,72.5,9.859012747267455e-20
0.0,75.0,5.951223817871515e-22
0.0,77.5,3.068990127152135e-24
0.0,80.0,1.4145442538015642e-26
0.0,82.5,5.941110488207094e-29
0.0,85.0,3.0761720266808643e-31
0.0,87.5,1.4609172870899588e-33
0.0,90.0,6.14528302884564e-36
0.0,92.5,2.4035002395380115e-38
0.0,95.0,7.108765411942189e-41
0.0,97.5,7.108765411942189e-41
2.5,0.0,1.9321380133690783e-43
2.5,2.5,1.9321380133690783e-43
2.5,5.0,7.400161152803815e-41
2.5,7.5,2.738825857221045e-38
2.5,10.0,6.253518643765676e-36
2.5,12.5,8.921822440080375e-34
2.5,15.0,2.4469960367952667e-31
2.5,17.5,6.295722681600305e-29
2.5,20.0,9.527493330645235e-27
2.5,22.5,1.9460965861165314e-24
2.5,25.0,3.7250318621231216e-22
2.5,27.5,6.541559364305175e-20
2.5,30.0,1.026457445941078e-17
2.5,32.5,1.4068998922986514e-15
2.5,35.0,1.6175007801654335e-13
2.5,37.5,1.6042658429398448e-11
2.5,40.0,1.2628633213170372e-09
2.5,42.5,8.467976627338753e-08
2.5,45.0,4.251704211285554e-06
2.5,47.5,0.00014280358935875052
2.5,50.0,0.002412443237275973
2.5,52.5,0.00014597953722614076
2.5,55.0,4.387103661746893e-06
2.5,57.5,8.918626297325809e-08
2.5,60.0,1.3427797833527339e-09
2.5,62.5,1.6128877521698587e-11
2.5,65.0,1.6417598295559981e-13
2.5,67.5,1.368944222992524e-15
2.5,70.0,9.830004130114983e-18
2.5,72.5,9.859012747267455e-20
2.5,75.0,5.951223817871515e-22
2.5,77.5,3.068990127152135e-24
2.5,80.0,1.4145442538015642e-26
2.5,82.5,5.941110488207094e-29
2.5,85.0,3.0761720266808643e-31
2.5,87.5,1.4609172870899588e-33
2.5,90.0,6.14528302884564e-36
2.5,92.5,2.4035002395380115e-38
2.5,95.0,7.108765411942189e-41
2.5,97.5,7.108765411942189e-41
5.0,0.0,1.8076402840781004e-41
5.0,2.5,1.8076402840781004e-41
5.0,5.0,6.460312342088391e-39
5.0,7.5,2.19192884662358e-36
5.0,10.0,7.013733838944145e-34
5.0,12.5,1.0996479753064512e-31
5.0,15.0,2.9416937340065263e-29
5.0,17.5,7.159410618133554e-27
5.0,20.0,1.1868478152796491e-24
5.0,22.5,2.4562098308457633e-22
5.0,25.0,4.5459288460055386e-20
5.0,27.5,7.900203295334974e-18
5.0,30.0,1.1690221354706216e-15
5.0,32.5,1.5403948693665024e-13
5.0,35.0,1.7114041593353762e-11
5.0,37.5,1.7053142409619925e-09
5.0,40.0,1.4019405371539246e-07
5.0,42.5,9.143072509438441e-06
5.0,45.0,0.00044524689279931484
5.0,47.5,0.014503039778944238
5.0,50.0,0.2377903330407845
5.0,52.5,0.014879104427842465
5.0,55.0,0.0004607939700118462
5.0,57.5,9.720398183275023e-06
5.0,60.0,1.4991733673194026e-07
5.0,62.5,1.8501696918389694e-09
5.0,65.0,1.8481212527563518e-11
5.0,67.5,1.518315133360349e-13
5.0,70.0,1.095824052819549e-15
5.0,72.5,9.45881427690683e-18
5.0,75.0,7.844421476766463e-20
5.0,77.5,3.791328642179105e-22
5.0,80.0,1.7043654429682666e-24
5.0,82.5,7.091516433519894e-27
5.0,85.0,2.782073083246189e-29
5.0,87.5,1.33115462954e-31
5.0,90.0,5.854590662260204e-34
5.0,92.5,2.3032981438348403e-36
5.0,95.0,7.987549127300647e-39
