x,y,concentration
0.0,0.0,4.39384556366656e-68
0.0,2.5,4.39384556366656e-68
0.0,5.0,1.8681060082002914e-64
0.0,7.5,7.639791364041274e-61
0.0,10.0,1.913058371356712e-57
0.0,12.5,2.958872026316382e-54
0.0,15.0,8.876476735485885e-51
0.0,17.5,2.4918200043599415e-47
0.0,20.0,4.077733911000911e-44
0.0,22.5,9.030240774182606e-41
0.0,25.0,1.8693672257779921e-37
0.0,27.5,3.5411439829309165e-34
0.0,30.0,5.978346446482494e-31
0.0,32.5,8.791381888044531e-28
0.0,35.0,1.0810568212488675e-24
0.0,37.5,1.1436139782779761e-21
0.0,40.0,9.570383336171143e-19
0.0,42.5,6.808157031769127e-16
0.0,45.0,3.6165433989257343e-13
0.0,47.5,1.2815140219558852e-10
0.0,50.0,2.2759276792661943e-08
0.0,52.5,1.3100441861605206e-10
0.0,55.0,3.731800115858034e-13
0.0,57.5,7.170846325617654e-16
0.0,60.0,1.0176516176653821e-18
0.0,62.5,1.1490361150176201e-21
0.0,65.0,1.0967702956386432e-24
0.0,67.5,8.549627916684785e-28
0.0,70.0,5.723402346431451e-31
0.0,72.5,5.370839935763612e-34
0.0,75.0,3.0102883974943014e-37
0.0,77.5,1.435297827458518e-40
0.0,80.0,6.097217917131005e-44
0.0,82.5,2.353516319133471e-47
0.0,85.0,1.1203978409445375e-50
0.0,87.5,4.8782906914762347e-54
0.0,90.0,1.8751855428885374e-57
0.0,92.5,6.683405199634784e-61
0.0,95.0,1.7870569930673492e-64
0.0,97.5,1.7870569930673492e-64
2.5,0.0,4.39384556366656e-68
2.5,2.5,4.39384556366656e-68
2.5,5.0,1.8681060082002914e-64
2.5,7.5,7.639791364041274e-61
2.5,10.0,1.913058371356712e-57
2.5,12.5,2.958872026316382e-54
2.5,15.0,8.876476735485885e-51
2.5,17.5,2.4918200043599415e-47
2.5,20.0,4.077733911000911e-44
2.5,22.5,9.030240774182606e-41
2.5,25.0,1.8693672257779921e-37
2.5,27.5,3.5411439829309165e-34
2.5,30.0,5.978346446482494e-31
2.5,32.5,8.791381888044531e-28
2.5,35.0,1.0810568212488675e-24
2.5,37.5,1.1436139782779761e-21
2.5,40.0,9.570383336171143e-19
2.5,42.5,6.808157031769127e-16
2.5,45.0,3.6165433989257343e-13
2.5,47.5,1.2815140219558852e-10
2.5,50.0,2.2759276792661943e-08
2.5,52.5,1.3100441861605206e-10
2.5,55.0,3.731800115858034e-13
2.5,57.5,7.170846325617654e-16
2.5,60.0,1.0176516176653821e-18
2.5,62.5,1.1490361150176201e-21
2.5,65.0,1.0967702956386432e-24
2.5,67.5,8.549627916684785e-28
2.5,70.0,5.723402346431451e-31
2.5,72.5,5.370839935763612e-34
2.5,75.0,3.0102883974943014e-37
2.5,77.5,1.435297827458518e-40
2.5,80.0,6.097217917131005e-44
2.5,82.5,2.353516319133471e-47
2.5,85.0,1.1203978409445375e-50
2.5,87.5,4.8782906914762347e-54
2.5,90.0,1.8751855428885374e-57
2.5,92.5,6.683405199634784e-61
2.5,95.0,1.7870569930673492e-64
2.5,97.5,1.7870569930673492e-64
5.0,0.0,4.565108618373818e-65
5.0,2.5,4.565108618373818e-65
5.0,5.0,1.8045719096748544e-61
5.0,7.5,6.737703722924607e-58
5.0,10.0,2.3661467574345915e-54
5.0,12.5,4.014007199975971e-51
5.0,15.0,1.170833004698706e-47
