x,y,concentration
0.0,0.0,4.1738197925444006e-81
0.0,2.5,4.1738197925444006e-81
0.0,5.0,6.770017292231842e-77
0.0,7.5,1.0471581355789592e-72
0.0,10.0,9.83113857264128e-69
0.0,12.5,5.650266416822662e-65
0.0,15.0,6.252914728064287e-61
0.0,17.5,6.423532148581971e-57
0.0,20.0,3.814584096248056e-53
0.0,22.5,3.042789647419511e-49
0.0,25.0,2.2514871985916762e-45
0.0,27.5,1.5129292095881804e-41
0.0,30.0,8.992887840199314e-38
0.0,32.5,4.621646013505711e-34
0.0,35.0,1.9716113444739307e-30
0.0,37.5,7.183702606385575e-27
0.0,40.0,2.0558053580896034e-23
0.0,42.5,4.966299564117786e-20
0.0,45.0,8.896780991687575e-17
0.0,47.5,1.0559028008712591e-13
0.0,50.0,6.238569372695352e-11
0.0,52.5,1.0794113920347765e-13
0.0,55.0,9.180330555667666e-17
0.0,57.5,5.2308869448550236e-20
0.0,60.0,2.1860152050252384e-23
0.0,62.5,7.217427274635873e-27
0.0,65.0,2.0002018205446545e-30
0.0,67.5,4.494378483887099e-34
0.0,70.0,8.609195870642303e-38
0.0,72.5,2.2957278873233925e-41
0.0,75.0,3.627752057550967e-45
0.0,77.5,4.839130277181115e-49
0.0,80.0,5.706733172282125e-53
0.0,82.5,6.067404670673233e-57
0.0,85.0,7.89484907639218e-61
0.0,87.5,9.320288175084269e-65
0.0,90.0,9.634670647370571e-69
0.0,92.5,9.158556974855522e-73
0.0,95.0,6.474294303175218e-77
0.0,97.5,6.474294303175218e-77
2.5,0.0,4.1738197925444006e-81
2.5,2.5,4.1738197925444006e-81
2.5,5.0,6.770017292231842e-77
2.5,7.5,1.0471581355789592e-72
2.5,10.0,9.83113857264128e-69
2.5,12.5,5.650266416822662e-65
2.5,15.0,6.252914728064287e-61
2.5,17.5,6.423532148581971e-57
2.5,20.0,3.814584096248056e-53
2.5,22.5,3.042789647419511e-49
2.5,25.0,2.2514871985916762e-45
2.5,27.5,1.5129292095881804e-41
2.5,30.0,8.992887840199314e-38
2.5,32.5,4.621646013505711e-34
2.5,35.0,1.9716113444739307e-30
2.5,37.5,7.183702606385575e-27
2.5,40.0,2.0558053580896034e-23
2.5,42.5,4.966299564117786e-20
2.5,45.0,8.896780991687575e-17
2.5,47.5,1.0559028008712591e-13
2.5,50.0,6.238569372695352e-11
2.5,52.5,1.0794113920347765e-13
2.5,55.0,9.180330555667666e-17
2.5,57.5,5.2308869448550236e-20
2.5,60.0,2.1860152050252384e-23
2.5,62.5,7.217427274635873e-27
2.5,65.0,2.0002018205446545e-30
2.5,67.5,4.494378483887099e-34
2.5,70.0,8.609195870642303e-38
2.5,72.5,2.2957278873233925e-41
2.5,75.0,3.627752057550967e-45
2.5,77.5,4.839130277181115e-49
2.5,80.0,5.706733172282125e-53
2.5,82.5,6.067404670673233e-57
2.5,85.0,7.89484907639218e-61
2.5,87.5,9.320288175084269e-65
2.5,90.0,9.634670647370571e-69
2.5,92.5,9.158556974855522e-73
2.5,95.0,6.474294303175218e-77
2.5,97.5,6.474294303175218e-77
5.0,0.0,1.6544536828469612e-77
5.0,2.5,1.6544536828469612e-77
5.0,5.0,2.4737232422699407e-73
5.0,7.5,3.463714699445149e-69
5.0,10.0,4.524124346149824e-65
5.0,12.5,2.8289264263590376e-61
5.0,15.0,3.019479297607312e-57
5.0,17.5,2.899915349687968e-53
5.0,20.0,1.868147532047562e-49
5.0,22.5,1.4946114427463124e-45
5.0,25.0,1.0583567540648823e-41
5.0,27.5,6.965402297008876e-38
5.0,30.0,3.863825336720342e-34
5.0,32.5,1.8895104488976994e-30
