x,y,concentration
0.0,0.0,6.653634941253014e-97
0.0,2.5,6.653634941253014e-97
0.0,5.0,8.438383467310918e-92
0.0,7.5,9.463247437540905e-87
0.0,10.0,6.013735018237338e-82
0.0,12.5,2.196627135020899e-77
0.0,15.0,1.4585532354959439e-72
0.0,17.5,8.521950029407063e-68
0.0,20.0,2.738375734089457e-63
0.0,22.5,1.1285551426891595e-58
0.0,25.0,4.1313479110144425e-54
0.0,27.5,1.3186593868928981e-49
0.0,30.0,3.583145385274702e-45
0.0,32.5,8.119120788022145e-41
0.0,35.0,1.4757943889212831e-36
0.0,37.5,2.21804196512818e-32
0.0,40.0,2.538927941586433e-28
0.0,42.5,2.382553286016536e-24
0.0,45.0,1.612398216283403e-20
0.0,47.5,7.039416291580588e-17
0.0,50.0,1.4915205181235714e-13
0.0,52.5,7.196143986356233e-17
0.0,55.0,1.66378786941367e-20
0.0,57.5,2.5094903391255042e-24
0.0,60.0,2.6997402792614063e-28
0.0,62.5,2.2284227438694954e-32
0.0,65.0,1.4971793255751275e-36
0.0,67.5,7.895445943131393e-41
0.0,70.0,3.430242483989331e-45
0.0,72.5,2.001232046422422e-49
0.0,75.0,6.657924560463506e-54
0.0,77.5,1.7951326584271363e-58
0.0,80.0,4.0973586841979943e-63
0.0,82.5,8.049648201469041e-68
0.0,85.0,1.841720953876302e-72
0.0,87.5,3.623970355991643e-77
0.0,90.0,5.893205276056048e-82
0.0,92.5,8.276057004964748e-87
0.0,95.0,8.069010659783452e-92
0.0,97.5,8.069010659783452e-92
2.5,0.0,6.653634941253014e-97
2.5,2.5,6.653634941253014e-97
2.5,5.0,8.438383467310918e-92
2.5,7.5,9.463247437540905e-87
2.5,10.0,6.013735018237338e-82
2.5,12.5,2.196627135020899e-77
2.5,15.0,1.4585532354959439e-72
2.5,17.5,8.521950029407063e-68
2.5,20.0,2.738375734089457e-63
2.5,22.5,1.1285551426891595e-58
2.5,25.0,4.1313479110144425e-54
2.5,27.5,1.3186593868928981e-49
2.5,30.0,3.583145385274702e-45
2.5,32.5,8.119120788022145e-41
2.5,35.0,1.4757943889212831e-36
2.5,37.5,2.21804196512818e-32
2.5,40.0,2.538927941586433e-28
2.5,42.5,2.382553286016536e-24
2.5,45.0,1.612398216283403e-20
2.5,47.5,7.039416291580588e-17
2.5,50.0,1.4915205181235714e-13
2.5,52.5,7.196143986356233e-17
2.5,55.0,1.66378786941367e-20
2.5,57.5,2.5094903391255042e-24
2.5,60.0,2.6997402792614063e-28
2.5,62.5,2.2284227438694954e-32
2.5,65.0,1.4971793255751275e-36
2.5,67.5,7.895445943131393e-41
2.5,70.0,3.430242483989331e-45
2.5,72.5,2.001232046422422e-49
2.5,75.0,6.657924560463506e-54
2.5,77.5,1.7951326584271363e-58
2.5,80.0,4.0973586841979943e-63
2.5,82.5,8.049648201469041e-68
2.5,85.0,1.841720953876302e-72
2.5,87.5,3.623970355991643e-77
2.5,90.0,5.893205276056048e-82
2.5,92.5,8.276057004964748e-87
2.5,95.0,8.069010659783452e-92
2.5,97.5,8.069010659783452e-92
5.0,0.0,2.0621909357281712e-92
5.0,2.5,2.0621909357281712e-92
5.0,5.0,2.235596322410013e-87
5.0,7.5,2.118998018425307e-82
5.0,10.0,1.759513496144257e-77
5.0,12.5,6.599696744790092e-73
5.0,15.0,4.006387321370912e-68
5.0,17.5,2.0822783529556545e-63
5.0,20.0,6.929855459888188e-59
5.0,22.5,2.7429190832677726e-54
5.0,25.0,9.225871954470013e-50
5.0,27.5,2.7756846489901833e-45
5.0,30.0,6.78869909936821e-41
5.0,32.5,1.4145300215056004e-36
5.0,35.0,2.3820121635647892e-32
5.0,37.5,3.454265253109245e-28
5.0,40.0,3.9744153654525225e-24
5.0,42.5,3.493799006500988e-20
5.0,45.0,2.2117309550473353e-16
5.0,47.5,9.042961706014891e-13
5.0,50.0,1.7980287671169519e-09
5.0,52.5,9.277504199240256e-13
5.0,55.0,2.288985098533996e-16
5.0,57.5,3.7144555048454514e-20
5.0,60.0,4.250119856967492e-24
5.0,62.5,3.7477327109950596e-28
5.0,65.0,2.572332451063376e-32
5.0,67.5,1.3942508940964915e-36
5.0,70.0,6.363513607086343e-41
5.0,72.5,3.3397430793129153e-45
5.0,75.0,1.61065550353082e-49
5.0,77.5,4.276549221885753e-54
5.0,80.0,1.0039532197265086e-58
5.0,82.5,2.067698328693612e-63
5.0,85.0,3.793833427140289e-68
5.0,87.5,8.024305302749803e-73
5.0,90.0,1.4629535831419661e-77
5.0,92.5,2.2259442691773348e-82
5.0,95.0,2.76109103518163e-87
5.0,97.5,2.76109103518163e-87
7.5,0.0,6.233921954142529e-88
7.5,2.5,6.233921954142529e-88
7.5,5.0,6.176066500660682e-83
7.5,7.5,5.39602433265404e-78
7.5,10.0,4.154626395495991e-73
7.5,12.5,1.6625114441263003e-68
7.5,15.0,9.861614525365428e-64
7.5,17.5,3.9534611860936795e-59
7.5,20.0,1.3803078337638435e-54
7.5,22.5,5.279945336977467e-50
7.5,25.0,1.6732812789718332e-45
7.5,27.5,4.5201862785556464e-41
7.5,30.0,1.0219714952424338e-36
7.5,32.5,2.0551771346746994e-32
7.5,35.0,3.437777730820148e-28
7.5,37.5,4.674653962264196e-24
7.5,40.0,5.024339746403876e-20
7.5,42.5,4.1063343241789255e-16
7.5,45.0,2.4057420955835686e-12
7.5,47.5,9.104032255014802e-09
7.5,50.0,1.6782096510488816e-05
7.5,52.5,9.386793108244875e-09
7.5,55.0,2.497904962738404e-12
7.5,57.5,4.428107432894962e-16
7.5,60.0,5.39458483428835e-20
7.5,62.5,4.8282616696764926e-24
7.5,65.0,3.475099901136012e-28
7.5,67.5,2.0500516377757e-32
7.5,70.0,1.007310709021576e-36
7.5,72.5,4.177071891463214e-41
7.5,75.0,2.3452981459333787e-45
7.5,77.5,6.89998438346101e-50
7.5,80.0,1.7885449603413404e-54
7.5,82.5,4.085981635322531e-59
7.5,85.0,8.379475799794238e-64
7.5,87.5,1.490996021034721e-68
7.5,90.0,2.906205341843348e-73
7.5,92.5,4.95454951396072e-78
7.5,95.0,5.849174054365463e-83
7.5,97.5,5.849174054365463e-83
10.0,0.0,1.4548587070290997e-83
10.0,2.5,1.4548587070290997e-83
10.0,5.0,1.3050201704141038e-78
